altitude_m,max_GW_kg,theta0_deg,P_required_kW,P_available_kW,stall_fraction,M_tip,binding_constraint
0.0,3205.38330078125,24.26597083766333,759.9302750059275,760.0000084333419,0.0,0.6000797242050633,power-limited
1000.0,2955.4443359375,24.461515252563277,706.2959613645345,706.6191166601037,0.0,0.6069646343427088,power-limited
1500.0,2836.42578125,24.564391684630962,680.6940658458695,680.9206142661468,0.0,0.6104971619293207,power-limited
2000.0,2721.0693359375,24.67011659481564,655.8171295824217,655.8713427679187,0.0,0.614092094076783,power-limited
3000.0,2499.51171875,24.882629746802035,607.6055404497996,607.6844195964085,0.0,0.6214766876412733,power-limited
