r,r_over_R,chord,twist,phi,alpha_deg,Cl,Cd,stalled,dT,dQ,vi,M_local
0.13030833333333333,0.17100831146106737,0.0508,0.0,0.12340529906590075,4.929397193974167,0.4946967142471581,0.020552356865290528,False,8.275124283575256,0.1794737052595657,2.031086104404795,0.04848898708107196
0.140925,0.18494094488188975,0.0508,0.0,0.12059994537979364,5.0901321202295735,0.510827497942274,0.02116558535553739,False,9.991935587808369,0.23014582375684944,2.146138291195384,0.052421516617900316
0.15154166666666666,0.19887357830271216,0.0508,0.0,0.11800083001943641,5.239050460845666,0.525772411264328,0.02175129030044256,False,11.889863111255206,0.2895687446077849,2.2576119444401472,0.05635316214528471
0.16215833333333332,0.21280621172353453,0.0508,0.0,0.11558275310891286,5.377596062356699,0.5396763534998386,0.022311363573795186,False,13.97170296304811,0.35842617105411867,2.3658226726227074,0.06028403214729876
0.17277499999999998,0.22673884514435694,0.0508,0.0,0.11332459597644062,5.506978935524723,0.5526607570115539,0.02284759592970071,False,16.240015185798732,0.437397812585113,2.471039418380861,0.06421421596314732
0.18339166666666668,0.24067147856517937,0.0508,0.0,0.11120882016437393,5.628203959952009,0.5648264679309374,0.02336158559075003,False,18.69710374259544,0.5271589749828453,2.573500423138042,0.06814379025138231
0.19400833333333334,0.25460411198600175,0.0508,0.0,0.1092204361668869,5.742129971059367,0.5762596759164879,0.02385482850991968,False,21.3450988956746,0.6283812374898998,2.6734119990547516,0.07207281930067251
0.204625,0.26853674540682415,0.0508,0.0,0.10734657639880266,5.8494942271699575,0.5870343695829722,0.0243287089252052,False,24.18597653295523,0.7417325634171121,2.7709546692714255,0.07600135768166805
0.21524166666666666,0.28246937882764656,0.0508,0.0,0.10557624008185394,5.950927026449853,0.5972138034054273,0.02478447360975336,False,27.221548536019274,0.8678771638606152,2.86629053619989,0.07992945304680527
0.22585833333333333,0.2964020122484689,0.0508,0.0,0.10389985386849664,6.046976881309145,0.6068530241322319,0.02522327383358923,False,30.4535059533435,1.0074759102563566,2.959563281523348,0.08385714644487378
0.236475,0.3103346456692913,0.0508,0.0,0.10230903260404575,6.138124225721845,0.6160002464028244,0.02564617404795238,False,33.88343654184686,1.1611865088138835,3.050900622293539,0.08778447337075913
0.24709166666666668,0.32426727909011377,0.0508,0.0,0.10079651937617949,6.224784850136291,0.6246971974630554,0.02605412432961042,False,37.512795131433954,1.3296632451474975,3.140420451173606,0.0917114658294588
0.2577083333333333,0.3381999125109361,0.0508,0.0,0.09935576524126377,6.307333981382984,0.6329815337388208,0.026448038640996215,False,41.34299667015375,1.5135578937814127,3.2282246961952232,0.09563815065859671
0.26832500000000004,0.3521325459317586,0.0508,0.0,0.09798111340723469,6.3860957297727685,0.6408857817844881,0.026828717780473132,False,45.37532252648872,1.713518885034833,3.3144103731957717,0.09956455294893246
0.27894166666666664,0.36606517935258087,0.0508,0.0,0.09666745595513504,6.461362757503987,0.648439312134061,0.027196920284343826,False,49.61100779142071,1.9301921627800371,3.3990634455754583,0.1034906943198286
0.28955833333333336,0.37999781277340333,0.0508,0.0,0.09541026678997985,6.533394390716954,0.6556681498337034,0.027553335452035976,False,54.05120430590807,2.164220898662899,3.4822637364916202,0.1074165944372569
0.30017499999999997,0.3939304461942257,0.0508,0.0,0.09420543417727482,6.602426214444673,0.6625959373567573,0.027898615357341387,False,58.69702773071096,2.4162459514961814,3.564082472761574,0.11134227038554038
0.3107916666666667,0.40786307961504814,0.0508,0.0,0.09304934571644602,6.668665203993939,0.6692434460065229,0.02823333799707696,False,63.54949325477986,2.6869053860943497,3.6445884251054848,0.11526773844013198
0.3214083333333333,0.42179571303587043,0.0508,0.0,0.09193862502408442,6.732304811884107,0.675630089987602,0.02855807253295483,False,68.60962625513275,2.976835431816111,3.7238405398549252,0.1191930120732123
0.332025,0.43572834645669295,0.0508,0.0,0.09087029819016681,6.793515430608159,0.6817729692826283,0.028873322557446186,False,73.87835899051639,3.2866696994034172,3.801896535292892,0.12311810436252582
